internalID,ID,raMedian,decMedian,X,Y,spCl,spSubCl,Var_Type,Var_subType,Amplitude,AndersonDarling,Autocor_length,Beyond1Std,CAR_mean,CAR_sigma,CAR_tau,Con,Eta_e,FluxPercentileRatioMid20,FluxPercentileRatioMid35,FluxPercentileRatioMid50,FluxPercentileRatioMid65,FluxPercentileRatioMid80,Freq1_harmonics_amplitude_0,Freq1_harmonics_amplitude_1,Freq1_harmonics_amplitude_2,Freq1_harmonics_amplitude_3,Freq1_harmonics_rel_phase_0,Freq1_harmonics_rel_phase_1,Freq1_harmonics_rel_phase_2,Freq1_harmonics_rel_phase_3,Freq2_harmonics_amplitude_0,Freq2_harmonics_amplitude_1,Freq2_harmonics_amplitude_2,Freq2_harmonics_amplitude_3,Freq2_harmonics_rel_phase_0,Freq2_harmonics_rel_phase_1,Freq2_harmonics_rel_phase_2,Freq2_harmonics_rel_phase_3,Freq3_harmonics_amplitude_0,Freq3_harmonics_amplitude_1,Freq3_harmonics_amplitude_2,Freq3_harmonics_amplitude_3,Freq3_harmonics_rel_phase_0,Freq3_harmonics_rel_phase_1,Freq3_harmonics_rel_phase_2,Freq3_harmonics_rel_phase_3,Gskew,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,PercentDifferenceFluxPercentile,PeriodGLS,PeriodLS,PeriodWMCC,Period_fit,Psi_CS,Psi_eta,Q31,Rcs,Skew,SlottedA_length,SmallKurtosis,Std,StetsonK,StetsonK_AC,g-i,g-r,r-i,_r,recno,CXOC,f_CXOC,CID,RAJ2000,DEJ2000,Fsoft,Fhard,Ffull,RACdeg,DECdeg,COSMOS,I09ID,RAOdeg,DEOdeg,imag,e_imag,RAKdeg,DEKdeg,Kmag,e_Kmag,RAIdeg,DEIdeg,F3.6,e_F3.6,fID,f*,of,zsp,f_zsp,q_zsp,n_zsp,zph,f_zph,XMMC,S11,Simbad,Separation
Blind15A_26_N3_0914_1699,HiTS095907+020821,149.782039945,2.13922447448,914.215757559,1699.81934477,QSO,STARBURST_BROADLINE,QSO,,0.12435702438,0.38650243327,1.0,0.285714285714,2672.78322718,0.690646232287,0.00772338345923,0.0,251.776023582,0.163084646522,0.311726195066,0.49309905431,0.688921861631,0.934484656236,0.0672434403885,0.0497141004254,0.0173241854531,0.00643774911436,0.0,0.478373068379,1.53056825834,1.79370211316,0.0430492320099,0.0244942729632,0.0308670214213,0.0317527599817,0.0,-0.0153413380211,1.62908791048,-0.175629713333,0.0475333717772,0.0132243797064,0.00895367966236,0.00749105132192,0.0,-1.61287747216,-0.0526634772342,-1.42049459371,-0.0314577396782,-0.00370932332134,2.64959400244,20.6429297669,0.00308299983506,0.0449824205171,0.25,-0.0333333333333,0.00707061286837,0.00888641180535,0.0913333027257,0.194781129961,0.00376024663766,0.974777404942,0.243719204397,1.18648698656,0.0885847559703,0.194976982684,-0.11713271917,0.067352500002,0.0950471793971,0.0636421490664,0.823877981169,0.744053839183,1.53220411046,1.11465851447,0.417545595997,1.71E-4,253,095907.6+020821,,313,149.78187,2.13921,1.33E-14,3.91E-14,5.42E-14,149.78189,2.1391,1715123,1067126,149.78189,2.1391,19.68,0.01,149.78187,2.13912,18.39,0.01,149.78183,2.13912,145.88,0.23,1,,,0.355,1,4,2,0.391,2,63,S11,Simbad,1.7044228234840614E-4
Blind15A_26_N4_1000_3140,HiTS100047+020756,150.199140057,2.13239297105,1000.20601967,3140.06504421,QSO,BROADLINE,QSO,,0.0460808899504,0.999865641246,2.0,0.25,33.5610368018,0.0320145100677,0.595439873548,0.0,67.0903562968,0.117483859284,0.188130824597,0.534105545076,0.714010068398,0.938602267854,0.0266760942944,0.00977033930706,0.0124092909115,0.0024018958333,0.0,0.614709620472,1.45714869913,0.937568975645,0.0149175505491,0.00557998647219,0.00688484876652,0.00635736580223,0.0,-1.69890838414,-0.33714809967,-2.42772605741,0.00957538907876,0.00391790832262,0.0048583070621,0.002059700568,0.0,0.396375869018,0.407973091547,0.0213449137461,0.0431346450222,4.24560888765E-4,0.714430646562,19.9835795094,0.00140141579755,0.0153124781369,0.357142857143,-0.0333333333333,0.00343734721719,0.00467423374618,6.05994644121,1.19187500952,0.0671591699792,0.942305006526,0.334063822521,1.11377599977,0.0342708133944,0.336831329354,0.804362525578,0.269410000008,-0.210195820859,0.0280053040161,0.805314223125,0.707247527808,0.147111817887,0.0697519974633,0.0773598204237,2.87E-4,25,100047.7+020757,,47,150.1989,2.13255,9.66E-16,6.0E-15,6.09E-15,150.19897,2.13254,1637411,1018336,150.19897,2.13254,19.67,0.01,150.19899,2.13251,19.05,0.01,150.19898,2.13253,75.96,0.17,1,,,2.161,1,4,2,2.177,1,128,S11,Simbad,2.8671530165286826E-4
Blind15A_26_S10_0794_3347,HiTS100014+022838,150.058832122,2.47737752988,794.61389078,3347.52972628,QSO,BROADLINE,QSO,,0.063102039367,0.883715515573,1.0,0.392857142857,349.293547033,0.120376751745,0.0604152051659,0.0,126.534241211,0.219711501019,0.398916138382,0.575038334638,0.802297212162,0.88203666904,0.0358150095238,0.00773793379515,0.0273846200114,0.00937336336389,0.0,-1.25910530344,-0.9153037219,-1.31800919,0.0257452955504,0.00718240040359,0.00578413109007,0.00651447810724,0.0,1.38156454029,0.0678384184877,0.733600442581,0.0191637589838,0.00217791537405,4.63779294484E-4,0.00821625322854,0.0,-0.480034458378,-0.866447862574,-0.243512961927,-0.0259418856328,-0.00287054840773,1.24045201011,21.1026413071,0.00186844696736,0.0331825844628,0.178571428571,-0.1,0.00392527444446,0.00546811617662,0.723230500825,0.0234320878764,0.00990099009901,0.999728062187,0.245913400827,1.39008211395,0.0662993930051,0.248692760846,-0.281341218225,0.134705000004,-0.924679687734,0.0394291661535,0.82683776292,0.766477459338,0.241110894174,0.21967403745,0.0214368567239,2.62E-4,84,100014.0+022838,+,108,150.05858,2.47745,4.39E-15,1.61E-14,1.94E-14,150.05869,2.47743,2388542,1487987,150.05869,2.47743,20.63,0.02,150.05873,2.47746,19.92,0.01,150.05869,2.47741,107.77,0.18,1,,,1.253,1,4,2,1.252,1,178,S11,Simbad,2.621042775342489E-4
Blind15A_26_S12_1705_0484,HiTS100153+022437,150.472170484,2.41046489426,1705.6634526,484.670860212,QSO,BROADLINE,QSO,,0.113416425508,0.847657064883,2.0,0.392857142857,1.14914266419E-7,-0.0230931513294,1.82529869342E8,0.0,96.1107498373,0.191299064043,0.352491725402,0.457697480687,0.488620747157,0.776130826031,0.069146187293,0.0194716826459,0.0108702145677,0.0231833152201,0.0,0.404488110977,-0.686260932332,-2.26835577812,0.0451549887348,0.023480258874,0.0155181332077,0.0296536734357,0.0,2.41744757031,1.31393077497,2.33263793118,0.0296347875694,0.00493213858589,0.00514977501378,0.00595115569976,0.0,-0.00530802045934,-0.515147305454,-1.40637016733,0.0690454301145,0.00755358219294,1.69992027183,20.9752860351,0.00292924916365,0.0471409122021,0.285714285714,0.1,0.00766887273225,0.0105830806351,6.95461277119,0.0703731261481,0.00390518253046,0.505105085618,0.331974539646,0.856522810148,0.099331623835,0.374977302815,0.480321736119,0.740877500022,-0.0807071445824,0.0614418390757,0.757836145036,0.851425149844,0.686262954968,0.198307957246,0.487954997722,3.77E-4,528,100153.2+022436,+,640,150.47201,2.41012,1.04E-14,2.06E-14,3.74E-14,150.47203,2.41023,1894391,1180646,150.47203,2.41023,20.17,0.02,150.47206,2.41023,19.25,0.01,150.47202,2.41022,112.16,0.2,1,,,0.667,1,4,2,0.615,1,16,S11,Simbad,3.803440724634506E-4
Blind15A_26_S16_0470_3958,HiTS100024+023956,150.103871762,2.6655832966,470.100690962,3958.53670378,QSO,BROADLINE,QSO,,0.106659221144,0.228083393754,1.0,0.346153846154,9.99243545756,-0.0140809305553,2.14520155711,0.0,180.38500583,0.0961191234343,0.229927023616,0.417249130626,0.468108381429,0.886233615676,0.0599096480643,0.0421675597788,0.0221463800879,0.0271993592357,0.0,0.429149511363,0.875080724202,0.573953769555,0.0478570158081,0.0271638367407,0.0212728282191,0.0170589023291,0.0,-1.1910149634,0.425244635606,-0.452690040853,0.0312859664178,0.0017139253492,7.91039531256E-4,0.014234885418,0.0,0.600270785031,-0.0380081461808,1.01870805939,0.0123032725027,-9.53949947061E-4,2.17268087242,21.4357881029,0.00252350976555,0.0325691481538,0.346153846154,-0.1,0.00578608737125,0.00894724319223,0.141384565941,0.0451250754808,0.0331125819449,0.973001414705,0.31403732507,0.623583850032,0.0643828404733,0.346428181105,0.242555787509,0.067352500002,0.577584216089,0.0540934206098,0.829813812374,0.78019695186,-0.256432332361,-0.10437626434,-0.152056068021,1.52E-4,117,100024.9+023956,+,149,150.10389,2.66573,5.86E-15,9.55E-15,1.97E-14,150.10371,2.66577,2704813,1680727,150.10371,2.66577,21.23,0.06,150.10371,2.66573,20.74,0.02,150.10369,2.66569,22.83,0.13,1,,,2.951,1,4,5,2.916,1,168,S11,Simbad,1.4783028363278525E-4
Blind15A_26_S16_1510_3278,HiTS100012+023522,150.053859693,2.58960012441,1510.81472838,3278.69391851,QSO,BROADLINE,QSO,,0.0386536061728,0.982652464795,5.0,0.214285714286,8.07555371796E-8,0.00706631673215,2.32510107333E8,0.0,63.8561660416,0.0765557574457,0.146797343498,0.278480360779,0.492953957932,0.784072356319,0.0465007700157,0.0333861267445,0.0303972141862,0.0203536376149,0.0,-1.09456430292,1.43502554076,1.78590494359,0.0916717892505,0.0811361748749,0.0448898080563,0.0529310742772,0.0,1.61525683384,1.66726664655,0.946243932635,0.237063983439,0.180734323319,0.117489127858,0.137097532621,0.0,1.60616583761,1.46587288203,0.80105004272,-0.0309856172367,-0.00292959621527,0.562540458915,18.7764786173,0.00102263453364,0.00926046721805,0.464285714286,-0.0333333333333,0.00323318223624,0.00354132374122,15.1817891623,75.0881256,0.00414954967926,0.0781064510126,0.359248350016,0.487759541103,0.0177012274874,0.359248350016,-0.945100720008,0.067352500002,2.01566633189,0.0192014754542,0.688627174581,0.743372287463,0.195407543887,-0.0148002274399,0.210207771327,1.68E-4,112,100012.8+023522,+,142,150.05372,2.58969,2.78E-14,3.56E-14,8.92E-14,150.05378,2.58967,2362650,1472056,150.05378,2.58967,18.96,0.01,150.05382,2.58966,18.25,0.01,150.0538,2.58968,478.83,0.54,1,,,0.698,1,4,1,0.702,1,8,S11,Simbad,1.659877065718739E-4
