internalID,ID,raMedian,decMedian,X,Y,spCl,spSubCl,Var_Type,Var_subType,Amplitude,AndersonDarling,Autocor_length,Beyond1Std,CAR_mean,CAR_sigma,CAR_tau,Con,Eta_e,FluxPercentileRatioMid20,FluxPercentileRatioMid35,FluxPercentileRatioMid50,FluxPercentileRatioMid65,FluxPercentileRatioMid80,Freq1_harmonics_amplitude_0,Freq1_harmonics_amplitude_1,Freq1_harmonics_amplitude_2,Freq1_harmonics_amplitude_3,Freq1_harmonics_rel_phase_0,Freq1_harmonics_rel_phase_1,Freq1_harmonics_rel_phase_2,Freq1_harmonics_rel_phase_3,Freq2_harmonics_amplitude_0,Freq2_harmonics_amplitude_1,Freq2_harmonics_amplitude_2,Freq2_harmonics_amplitude_3,Freq2_harmonics_rel_phase_0,Freq2_harmonics_rel_phase_1,Freq2_harmonics_rel_phase_2,Freq2_harmonics_rel_phase_3,Freq3_harmonics_amplitude_0,Freq3_harmonics_amplitude_1,Freq3_harmonics_amplitude_2,Freq3_harmonics_amplitude_3,Freq3_harmonics_rel_phase_0,Freq3_harmonics_rel_phase_1,Freq3_harmonics_rel_phase_2,Freq3_harmonics_rel_phase_3,Gskew,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,PercentDifferenceFluxPercentile,PeriodGLS,PeriodLS,PeriodWMCC,Period_fit,Psi_CS,Psi_eta,Q31,Rcs,Skew,SlottedA_length,SmallKurtosis,Std,StetsonK,StetsonK_AC,g-i,g-r,r-i
Blind14A_30_N9_0628_2532,HiTS110849-001303,167.207561675,-0.217725513392,628.361499639,2532.12073989,QSO,,QSO,,0.0963328782415,0.461473369373,1.0,0.25,121.060645954,0.0753332108707,0.17627978329,0.0,4.35716499006,0.212361805783,0.371318152743,0.392526795844,0.495714053248,0.700398840142,0.0528822607174,0.0315132591599,0.0317239279601,0.00722405489334,0.0,0.17200776883,-1.90482156958,-0.112875007515,0.0498141564773,0.00767345723796,0.0237071597278,0.0087803095409,0.0,0.888908015165,-1.06645654881,0.432554492084,0.0191997593383,0.00308334131133,0.0107404162111,0.00715791835056,0.0,0.134113017347,-0.399567789624,0.711734121329,-0.0346328673028,-0.00354705961087,0.869750538618,21.3405444338,0.00231952395684,0.0339078387759,0.2,0.1,0.0053254391635,0.00797375970086,1.94808792573,0.00435359135593,0.0234411627655,0.999982067515,0.235312896156,1.12071801358,0.0679416983204,0.31920647172,-0.452404907821,0.0910129999975,0.424642731777,0.0494999040662,0.82159981551,0.850398842316,,,
Blind14A_30_N12_1390_2846,HiTS111239-001627,168.163801381,-0.27426796996,1390.61411817,2846.00453626,QSO,BROADLINE,QSO,,0.0748676527042,0.844678587904,1.0,0.333333333333,116.557456769,0.0653241770194,0.179936209655,0.0,43.9102316068,0.0583461943588,0.246035497773,0.294235520222,0.661753215116,0.823100124787,0.0465733711222,0.0161324425703,0.021915867967,0.00601148210678,0.0,0.0345409803423,-2.27687097606,-1.99137336108,0.0317030593175,0.00786099740831,0.0162013815392,0.00589404949973,0.0,-1.28289876881,0.18760007187,-1.04229807497,0.019370357574,0.00541598112979,0.0103680573455,0.00276266956104,0.0,0.64428186562,0.997914695126,0.338334383957,0.023272102496,-0.00278599304525,0.969782753979,20.9729069781,0.00205928772282,0.0231562043703,0.380952380952,-0.0666666666667,0.0043254008413,0.00684272842055,1.14155444111,0.5352135,0.00623480269222,0.999716956784,0.377849796949,0.974852073325,0.0488451666709,0.223119021188,0.379086225717,0.182025999995,0.0222955120125,0.0431892498518,0.784985192869,0.660328727976,,,
Blind14A_30_N21_1018_3331,HiTS110941-003431,167.421532823,-0.575406171189,1018.0322329,3331.08228994,QSO,BROADLINE,QSO,,0.0598075947696,0.292240552209,1.0,0.35,341.864056393,-0.0717504246437,0.0614731067595,0.0,8.21835656028,0.279821057897,0.322941386297,0.380919755639,0.682735435754,0.8269036608,0.0477728740303,0.0130839115658,0.0146027936648,0.00734804079471,0.0,0.778944996399,-1.31505843196,-0.429128778816,0.0194544700686,0.00495009897975,0.0115608812521,0.00879716025922,0.0,0.12800309545,-0.262153671041,0.483091273838,0.017890137834,0.00741954747768,0.0122987369966,0.00854881633289,0.0,-0.102797504571,2.00384152282,0.757173603911,-0.00432126909629,0.00647894885278,1.00457722486,21.0154456359,0.00157877081658,0.022651000375,0.1,-0.0333333333333,0.00294866228255,0.0051785788778,0.0623332191797,0.0177146131034,0.00527732318862,0.601450526805,0.299446797529,0.927089239839,0.041648655294,0.247575406625,-0.106878490557,0.0910129999975,-0.596466865916,0.0331785722672,0.852006061373,0.751361006371,,,
Blind14A_30_N28_0632_1377,HiTS111213-004242,168.055383173,-0.711801872664,632.38116833,1377.10364261,QSO,,QSO,,0.137532036389,0.259524838321,1.0,0.3,134.799384746,-0.173001900648,0.161412916618,0.0,4.76117666,0.159742288363,0.286786466303,0.476760691522,0.566582139977,0.752819725971,0.0839503733923,0.0427111500984,0.0450173675143,0.0215287051015,0.0,-1.71505240077,-1.71342559648,-2.76248267548,0.0609444844103,0.0304400676762,0.0154952589591,0.019700425055,0.0,1.23367735157,-1.21471513603,1.67249443208,0.0370279125268,0.0143990528805,0.031607431177,0.00903537966607,0.0,-1.34958478477,-0.109991834487,-1.32203624199,-0.0349831448433,0.00405866878656,1.55688132046,21.7583618501,0.00344863864002,0.0517000555291,0.25,-0.0333333333333,0.00712027502455,0.0119941519696,1.12929007552,0.00433888327702,0.0127730232253,0.947659306847,0.299329730942,0.608084714033,0.117409890777,0.270165706693,-0.217104252916,0.182025999995,-0.468874899132,0.0750367274199,0.833075998652,0.761065887405,,,
Blind14A_30_N31_1312_0798,HiTS111125-005531,167.85751553,-0.925332427039,1312.04908819,798.456598366,QSO,BROADLINE,QSO,,0.0628345058424,0.195346790413,1.0,0.285714285714,35.1128725422,-1.1942321021E-9,0.595078684357,0.0,124.080179875,0.215031799736,0.291362885719,0.33968065339,0.562416696462,0.710987753286,0.0395059342054,0.0166437448646,0.0136486085237,0.0125790292308,0.0,-0.333852220531,-1.51675486865,0.645074438582,0.0223187477584,0.00809958461849,0.00503147449349,0.0100206318147,0.0,0.964152971531,0.542439743387,0.331353438123,0.0112705863307,0.00564270504675,0.0044445665308,0.00914125339219,0.0,0.870585953012,-0.541231256232,-0.140850895638,0.00773833158582,0.00227003118288,1.12528930975,20.8949219964,0.00170523754548,0.0225547120501,0.380952380952,0.0666666666667,0.00355830823074,0.00593407371971,0.178529384846,0.179735876866,0.00399249409161,0.962163691146,0.230688190351,1.37206624375,0.0398754349216,0.182740789959,-0.0462437275567,0.0910129999975,0.0379547231348,0.0356308054982,0.803525793686,0.855573867382,,,
Blind14A_30_S10_0491_3749,HiTS111026+001710,167.608410497,0.286274139508,491.593497576,3749.44798572,QSO,,QSO,,0.097296648402,0.925790827259,1.0,0.35,569.23860591,0.231058928745,0.0376516612788,0.0,6.85954669157,0.184176087128,0.311735761506,0.423656557225,0.681819970979,0.906606112461,0.0660561985757,0.0114635498206,0.00663910467271,0.022689144237,0.0,-0.721798028838,1.6926022775,-0.119142206538,0.0429107511435,0.0285612668414,0.00801410177388,0.019310408939,0.0,0.705451363534,0.0812702712507,-0.116287359921,0.0222417354007,0.00540652455975,0.0144100443256,0.00150319307242,0.0,2.06946825468,0.823466742177,1.39660382734,0.0767308969091,-0.00162418090678,1.58247016416,21.4327791765,0.00251098919822,0.0358615261527,0.4,0.0333333333333,0.00633639665255,0.00825989668449,0.114666438359,0.00612013080771,0.0035942778938,0.968425449008,0.248584573848,1.21646713354,0.0692508988656,0.27603053478,0.618784321663,0.0910129999975,-0.0817689591353,0.0538174770001,0.842055497419,0.80325766898,,,
Blind14A_30_S17_0517_1132,HiTS111054+002655,167.728214974,0.448614278317,517.640457327,1132.64031617,QSO,BROADLINE,QSO,,0.0495127184874,0.364705597517,1.0,0.263157894737,548.780416538,0.162925500588,0.03738977104,0.0,7.33205975475,0.166426557725,0.242996504127,0.589128032776,0.618549548003,0.776583787927,0.0367987283225,0.0107654636019,0.0103254301597,0.00341484418999,0.0,-1.39786624435,-1.01687834488,-0.184491132238,0.0187765192123,0.00466855592589,0.00858655541645,0.00586527953269,0.0,-0.0801212135758,-1.59452659454,0.282925935039,0.0113115913513,0.00463146536412,0.00547375559002,0.0034089726715,0.0,2.13453963929,0.58155173511,1.73586909713,-0.00344937800406,-0.00380323861405,0.687661050983,20.5187741256,0.00140713633788,0.0186992558948,0.263157894737,-0.0666666666667,0.00249722970949,0.00467209982847,0.335020956489,0.337976171052,0.019531249709,0.978911737504,0.250330063298,0.998652847365,0.0377068811765,0.202232265447,-0.00142601464462,0.0906504000013,-0.434393081983,0.0288727126809,0.659839544679,0.796763609204,,,
Blind14A_30_S29_1509_2257,HiTS110922+005208,167.344657229,0.869018573597,1509.63288783,2257.19509162,QSO,,QSO,,0.08876009268,0.710086479534,1.0,0.4,36.4527294838,-1.35389482958E-9,0.595010762612,0.0,7.79139667124,0.28116096488,0.388126697635,0.585155220621,0.758297705371,0.884963201837,0.0658923913454,0.0328706348374,0.0269702897198,0.0556466149771,0.0,-1.03850639801,-1.0084988189,0.284545707365,0.0590014020364,0.0575859923404,0.0168540683177,0.0619120882761,0.0,-1.28011313588,-1.16284101281,0.146133571327,0.0734517503271,0.0613646272891,0.00673370244241,0.0671360257421,0.0,-1.41549007892,-1.74394995527,0.00657681325107,0.0403593284357,0.00587430724392,1.59958101457,21.6897663694,0.00259437474487,0.0475820029365,0.2,-0.0333333333333,0.0050251482573,0.00817325206654,0.117870513003,0.00657608525345,0.0293169186145,0.877543639048,0.312989428222,1.44185861521,0.0952437458609,0.201113235678,0.192955317403,0.0910129999975,-1.02235144752,0.0562713820909,0.878460539617,0.821300311291,,,
Blind14A_31_N14_0860_0597,HiTS111152-022937,167.96955184,-2.4938576876,860.895965502,597.342970092,QSO,,QSO,,0.067507639905,0.777887423618,1.0,0.318181818182,299.948521417,-0.10660924764,0.0704201213826,0.0,24.9181039897,0.314610828864,0.463231562824,0.49271137055,0.830174319363,0.938315217306,0.0499224087885,0.0223132326848,0.0109412802423,0.0249156476423,0.0,-0.298481635793,-0.822310587759,0.417636670953,0.0378424752303,0.00913707243632,0.0148559980952,0.00229933132284,0.0,-0.291954072724,-1.93804609084,-1.3639912693,0.0224904845634,0.00800848145081,9.5798450686E-4,0.0060613427782,0.0,-0.874466106395,-0.238738114003,-1.09353175051,-0.0256390617303,8.86605109879E-4,3.32403467443,21.1224112868,0.00202126509658,0.033692050039,0.136363636364,0.1,0.00411935483449,0.00566948532504,0.113594253563,0.00456057528409,0.00670286201244,0.975719559458,0.344403795749,1.15893173695,0.0614024246322,0.274125277001,-0.0803056241678,0.0905381999983,-0.859254567577,0.0426939926895,0.888981168839,0.779977160094,,,
Blind14A_31_N18_1688_2900,HiTS111731-023323,169.381748714,-2.55657891891,1688.72423011,2900.27575915,QSO,,QSO,,0.0989149113384,0.557724700423,1.0,0.409090909091,460.499138192,0.225547346666,0.047491369728,0.0,6.41992366032,0.254063787544,0.355447886435,0.535260757801,0.77394627697,0.820373546797,0.0638801632984,0.00990506571234,0.0197185927196,0.0237678837295,0.0,1.07475359311,-1.40029077164,0.910013793016,0.0417370609603,0.014370198073,0.0177669144032,0.00745377120225,0.0,-0.928433581033,-1.45664815251,-0.612224692783,0.0203466057181,0.0070255043695,0.00627593835273,0.00572297879177,0.0,1.47260543114,0.0604934753308,-0.103475700593,-0.0490264654312,0.00412354846126,1.55661027806,21.8697348313,0.00265096131917,0.04497472459,0.318181818182,0.0333333333333,0.00588697535442,0.00730501145043,0.332530562641,0.021934380871,0.00395272531834,0.903649515339,0.236923332769,1.17746430134,0.0837758444914,0.181315696857,-0.511752955302,0.0905381999983,-0.0818336116258,0.0579758210983,0.801012644647,0.827507461701,,,
