internalID,ID,Var_prob,Pred_Var_Type_05,Per_prob,Pred_VarPer_Type,DSCT,EB,ROTVAR,RRLYR,Pred_VarPerSub_Type,CV,QSO,SNe,Pred_VarNonPerSub_Type,Pred_class,raMedian,decMedian,X,Y,spCl,spSubCl,Var_Type,Var_subType,Amplitude,AndersonDarling,Autocor_length,Beyond1Std,CAR_mean,CAR_sigma,CAR_tau,Con,Eta_e,FluxPercentileRatioMid20,FluxPercentileRatioMid35,FluxPercentileRatioMid50,FluxPercentileRatioMid65,FluxPercentileRatioMid80,Freq1_harmonics_amplitude_0,Freq1_harmonics_amplitude_1,Freq1_harmonics_amplitude_2,Freq1_harmonics_amplitude_3,Freq1_harmonics_rel_phase_0,Freq1_harmonics_rel_phase_1,Freq1_harmonics_rel_phase_2,Freq1_harmonics_rel_phase_3,Freq2_harmonics_amplitude_0,Freq2_harmonics_amplitude_1,Freq2_harmonics_amplitude_2,Freq2_harmonics_amplitude_3,Freq2_harmonics_rel_phase_0,Freq2_harmonics_rel_phase_1,Freq2_harmonics_rel_phase_2,Freq2_harmonics_rel_phase_3,Freq3_harmonics_amplitude_0,Freq3_harmonics_amplitude_1,Freq3_harmonics_amplitude_2,Freq3_harmonics_amplitude_3,Freq3_harmonics_rel_phase_0,Freq3_harmonics_rel_phase_1,Freq3_harmonics_rel_phase_2,Freq3_harmonics_rel_phase_3,Gskew,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,PercentDifferenceFluxPercentile,PeriodGLS,PeriodLS,PeriodWMCC,Period_fit,Psi_CS,Psi_eta,Q31,Rcs,Skew,SlottedA_length,SmallKurtosis,Std,StetsonK,StetsonK_AC,g-i,g-r,r-i
Blind15A_07_S9_1016_4031,HiTS091650-000257,0.6,Var,0.330926530002,NonPer,,,,,,0.025,0.975,0.0,QSO,QSO,139.211990463,-0.0491929373693,1016.90699881,4031.14950555,,,,,0.0165501389491,0.945483007561,6.0,0.346153846154,0.678604056536,-0.0041172232138,22.7404909886,0.0,35.2547388705,0.272771425766,0.380842752859,0.540229905622,0.698613711571,0.871066038328,0.0243754495183,0.0167370904001,0.0121031610365,0.0121319985579,0.0,1.7502582372,1.80300370989,1.00786881806,0.0490698637428,0.0318002616552,0.0332294586635,0.0198667452392,0.0,2.07615452898,1.40463624893,0.785023020247,0.0631118795689,0.0303852805045,0.0229592322029,0.0186663879965,0.0,-0.880890224092,-1.94675524902,-1.42775816189,-0.00722155719835,-0.00122835764465,0.148660290804,15.4317894325,6.41673849923E-4,0.00823543608072,0.192307692308,-0.0333333333333,0.00148165366763,0.0018898771896,14.4784006062,50.071154,0.00390518253046,0.105416949692,0.415324678573,0.642689896708,0.0176240705748,0.415324678572,-0.418752107844,0.877574099963,-0.541725062446,0.00990217573633,0.85327311697,0.798562097778,,0.443238207185,
Blind15A_08_N19_0316_0778,HiTS092529-023924,0.7,Var,0.390170360166,NonPer,,,,,,0.025,0.975,0.0,QSO,QSO,141.373402894,-2.65667917121,316.298,778.463641802,,,,,0.0290563128168,0.852325414268,3.0,0.444444444444,11.0319537818,-0.0179695458374,1.52907164793,0.0,16.3370851156,0.138783040975,0.354496764232,0.530074822387,0.731118658422,0.867320463539,0.0256380501981,0.0145386945581,0.0158313248534,0.0137927288159,0.0,1.39882829078,1.39016537246,-0.0830812273506,0.0189573614403,0.00642710740254,0.0119763508881,0.00961525500676,0.0,2.44652340623,0.544116080402,2.26067673401,0.0149594538784,0.00811613220281,0.00717562947397,0.00656269383883,0.0,0.198818616929,-0.649218295849,0.069687382129,-0.00341264628274,2.82528840039E-4,0.188732565345,16.868647749,0.00105353179053,0.0165627740924,0.259259259259,0.0666666666667,0.00192729019835,0.00338721839261,6.76860783496,6.82789715454,0.00390396261498,0.0289774072979,0.35695672663,0.674544401907,0.0305539278548,0.35695672663,-0.0957266594775,0.810867600027,-0.959364601298,0.0177716566669,0.836251817227,0.795063281333,0.807543579055,0.560383794029,0.247159785026
Blind15A_08_S24_1190_0859,HiTS092453-014401,0.666666666667,Var,0.289897372435,NonPer,,,,,,0.0,1.0,0.0,QSO,QSO,141.223997045,-1.73369412448,1190.19562839,859.283157321,,,,,0.0295713055151,0.241916036194,3.0,0.32,3.1547869867,0.0109357589641,5.61713112982,0.0,56.0846120422,0.142874856589,0.328437867499,0.401568829094,0.611362814269,0.88355705541,0.0265613461167,0.0158280320876,0.0128545058181,0.0118706860307,0.0,1.93681410353,1.2412963146,1.17869510713,0.026159570653,0.0131797022992,0.00760123132729,0.0149460113585,0.0,2.22970163482,1.45583224502,1.11621176773,0.0271686741029,0.00989863984444,0.0111963254463,0.00841445077931,0.0,-1.5755549435,-0.436738247371,-0.321194357603,0.00673330765455,3.25736686874E-4,0.381043031724,17.7208521909,9.24147720857E-4,0.0112013095655,0.36,0.0,0.00196292589695,0.00301378810404,23.9342201417,25.0356229,0.00390686057737,0.115183624524,0.411342340738,0.442461262917,0.0254904933432,0.411342340737,0.156346067618,0.135144600004,-0.379340585631,0.0163766851639,0.75077613262,0.789786788434,1.41873291837,1.01257183372,0.406161084651
Blind15A_08_S28_2010_1251,HiTS092423-013744,0.866526931126,Var,0.0141698856897,NonPer,,,,,,0.0785819430815,0.921418056919,0.0,QSO,QSO,141.097162815,-1.6291648026,2010.84273379,1251.74605361,,,,,0.0931389115067,0.998557601207,1.0,0.24,16.7333987504,-0.0419117840641,1.25494667824,0.0,184.535776415,0.157062987781,0.394518218779,0.458881257396,0.752418456911,0.936723995711,0.0691044734729,0.0202094374754,0.0133634251246,0.0170478668607,0.0,-0.640157220718,0.525514662981,0.599173600169,0.0273860409837,0.00861366280476,0.00729254827123,0.00994549567004,0.0,-2.08234316353,-0.707119896629,-2.60927318187,0.0207130926014,0.00849666619727,0.00862690546032,0.00609033790739,0.0,1.09664393073,1.54555826963,0.620826456977,0.0755701960859,0.00162916087939,2.78711085984,20.9995231776,0.00272898766257,0.0370542353432,0.32,0.0666666666667,0.00663523093589,0.00850795449304,7.66975554629,0.035461222238,0.00370233238579,0.400295904832,0.429515103891,0.662570925929,0.0826176788756,0.338462228577,0.69995014159,0.0675723000022,-0.365026157695,0.0573074396715,0.82208421233,0.802321178619,0.459427952093,0.268638830627,0.190789121466
Blind15A_09_N11_1082_0348,HiTS091815-043257,0.933193597793,Var,0.178264934684,NonPer,,,,,,0.0285819430815,0.946418056919,0.025,QSO,QSO,139.565655703,-4.54926952834,1082.83128718,348.785349089,,,,,0.11428321704,0.99270831064,2.0,0.291666666667,14.472610277,-0.0613275797882,1.49005759409,0.0,11.7583877861,0.33501463398,0.470286045409,0.591604544046,0.730456363313,0.870864595295,0.0914314753016,0.0125393110769,0.0396575858882,0.0316447700404,0.0,0.239359111563,0.950623184962,0.468546334477,0.0494267624508,0.0165631551393,0.0160540068378,0.0154012767304,0.0,-0.613751517398,0.908110366373,0.881041143538,0.024313161219,0.0085250805984,0.00808422101295,0.00800030844513,0.0,-0.655074743544,-2.23481678965,-2.83172810416,0.0947897751909,0.0145902695283,1.72425797147,21.5650228496,0.00341847686513,0.0516969460413,0.125,0.1,0.00786190844248,0.0103098988062,7.33855707239,0.00853207392599,0.0169233372384,0.246287653325,0.240568372069,0.656453307106,0.120072109337,0.333241559012,0.43471100999,0.270396800013,-0.947222790182,0.0737195317071,0.867102263566,0.826044820818,,1.41998022098,
Blind15A_09_N21_0449_1978,HiTS091652-044953,0.898116246286,Var,0.203311279318,NonPer,,,,,,0.0848484848485,0.915151515152,0.0,QSO,QSO,139.217055795,-4.83160239374,449.244437385,1978.82219247,,,,,0.13902575451,0.242466707493,2.0,0.32,14.6163941492,-0.0831319907523,1.41143559081,0.0,11.405208286,0.166021570578,0.270515749186,0.557987451593,0.729305786601,0.962135377359,0.08586885722,0.0099817302773,0.0355673503334,0.0350731739464,0.0,1.76913829979,1.51687783314,-0.00608519925801,0.0599193900836,0.0293502366603,0.0223354078676,0.0194386092584,0.0,0.913873510316,0.969401266484,-0.456529102444,0.0531162423929,0.0142294930692,0.0160215837195,0.0110432035775,0.0,-0.254328944969,1.35064623894,-0.78095112774,-0.0296889812256,-0.0106179287628,2.29098981383,20.6300989115,0.00372554643219,0.0570414874091,0.28,0.0,0.00795973785371,0.0104024886857,5.38427518642,5.47061067273,4.99999992549,0.229541541311,0.352258092446,0.722435327568,0.113988833573,0.352258092446,-0.0780271875521,0.81119040004,-0.166540714887,0.0768583913952,0.833865635047,0.806168863822,,0.947412397368,
Blind15A_10_N13_0177_0617,HiTS092527-062858,0.66365110125,Var,0.14569817911,NonPer,,,,,,0.025,0.975,0.0,QSO,QSO,141.366198072,-6.48300633378,177.32531549,617.749939309,,,,,0.104732677493,0.455813727799,2.0,0.35,34.841662146,2.67154298683E-9,0.594444674842,0.0,21.9918834065,0.244903575761,0.457367708855,0.535998705016,0.658041446752,0.746924649942,0.0677512407921,0.0139053423804,0.0559001326264,0.0102104236294,0.0,1.28924223542,1.53127770973,1.75126659526,0.0499713476646,0.0157355010905,0.00670863926428,0.0050787212766,0.0,0.202622657391,0.665812515818,-1.19829282141,0.0303004656893,0.0123190619276,0.00232424863072,0.0141700842197,0.0,-1.45728721967,-0.0626380441654,-0.628713588657,-0.0213084052867,-0.00293281270553,1.16182443275,20.7114405253,0.00264773869698,0.0465817861493,0.2,0.1,0.00556973405901,0.00833818206906,1.87660014541,1.88053288125,0.00502108886437,0.698345735453,0.411073830381,0.594171268064,0.0890266504646,0.286134611188,-0.0909841975882,0.743604400057,-0.561535260197,0.0548384825492,0.687208280787,0.837624296973,,0.678399458612,
Blind15A_10_N16_1338_1073,HiTS092150-064357,0.633333333333,Var,0.0692423311262,NonPer,,,,,,0.025,0.975,0.0,QSO,QSO,140.460531032,-6.73263828997,1338.41193662,1073.24096164,,,,,0.069439826231,0.804639682181,2.0,0.28,12.4336280043,0.028816550229,1.69639560506,0.0,10.9870429033,0.162400855667,0.265834179553,0.49357420049,0.589475290006,0.876982690599,0.0466641013604,0.0248382787542,0.0275304301861,0.0274749849721,0.0,2.44357253166,1.36869236001,1.0356371144,0.0429702692117,0.0141822719051,0.0246206857208,0.0108781474414,0.0,0.152384824048,1.33453239425,0.0913782406482,0.0361660640708,0.0068309294434,0.0119623875312,0.0144603103605,0.0,0.842607283948,0.370692819223,-0.770564890272,0.0514120351723,0.00642982929888,0.923563449787,21.0923519014,0.00192777878956,0.0251408793192,0.28,0.0666666666667,0.0047240466855,0.0065091165771,1.15752062631,0.0670123075724,0.00390518253046,0.41858801369,0.295863405737,0.544728685397,0.0585772844662,0.353958234219,0.561639085723,0.743604400057,-0.292915445096,0.0406613886174,0.816781229792,0.821607606306,,0.321461931592,
Blind15A_10_N24_0091_2128,HiTS092517-064820,0.532504701161,Var,0.00168362100105,NonPer,,,,,,0.0637777777778,0.936222222222,0.0,QSO,QSO,141.320894863,-6.80563631847,91.1422687828,2128.59929235,,,,,0.10256866001,0.668918892859,1.0,0.32,20.2517698022,0.0433847607809,1.05584811866,0.0,16.1646580365,0.226286867175,0.284980362913,0.46805056831,0.665887199292,0.964865430626,0.0613378337195,0.00347637050423,0.0147475810928,0.0236317056179,0.0,1.49450959625,1.96011842592,1.62206010867,0.0373190481554,0.00440861322137,0.020062424328,0.0142547920847,0.0,0.960932929098,0.316635055212,1.17197754851,0.0233770329128,0.00707538216756,0.00603384870313,0.00953002442857,0.0,1.21748575117,-0.388964673591,1.96298233788,0.0475567070681,0.00760559072178,1.71938494857,21.3827930453,0.00271573764029,0.0367966491471,0.28,0.133333333333,0.00596246515042,0.00849080481215,1.18257566182,1.1799422,0.0222172858763,0.788624264508,0.310761728802,0.768581001591,0.0661509669657,0.235859251611,0.36177787565,0.13520080001,-0.360754616623,0.0580700559277,0.803348826861,0.841636769432,,1.30725852571,
Blind15A_10_N28_1735_3322,HiTS092500-070523,0.666666666667,Var,0.29428583599,NonPer,,,,,,0.025,0.975,0.0,QSO,QSO,141.251788887,-7.08986216067,1735.03765426,3322.63655352,,,,,0.0354756145382,0.977247448129,3.0,0.28,5.95045747612,-0.0163109942666,3.16296151617,0.0,6.20903148719,0.246817717047,0.33466600235,0.387938248383,0.577567317987,0.643205915289,0.0291634878959,0.0103444879622,0.010861007532,0.0114154282606,0.0,1.17345495157,0.0576391604273,1.71105859096,0.0183746367338,0.00327799417396,0.00933355095904,0.00204744692992,0.0,0.875611264735,1.94186067296,-0.0874849443869,0.00752739282797,0.00464847771977,0.00520769836785,0.00473597878394,0.0,2.75844375923,2.70439761668,1.98784540391,0.00478496960367,-0.00172197524325,0.425627150549,18.8210680006,0.00119364349864,0.0162113149408,0.2,-0.266666666667,0.00246024237882,0.00435345705766,10.0295087,12.03541044,0.0039071657047,0.140759011497,0.434075368949,0.797161799348,0.0332376503403,0.434075368949,-0.036453243985,0.811204800062,-0.457170149919,0.0224656454563,0.881035872233,0.880119524088,,1.25402995567,
